                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7896,                 12.736,                 1.0402,                0.83693,                0.60041,                0.72767,                0.51647,                0.97155,                 2.4507,                0.92688,             6.2031e-05,             6.2031e-05,             6.2031e-05
                      1,                 1.1608,                 2.4743,                0.86081,                0.90626,                0.74578,                0.81508,                0.61151,                0.88514,                 1.4819,                0.91476,             0.00012379,             0.00012379,             0.00012379
                      2,                 1.0269,                 1.5403,                0.84465,                0.91981,                0.78703,                0.86893,                0.65324,                0.85735,                 1.1578,                0.92533,             0.00018431,             0.00018431,             0.00018431
                      3,                0.97059,                 1.1561,                0.83177,                0.91229,                0.84589,                0.91179,                0.70635,                0.81507,                0.98573,                0.92648,             0.00018339,             0.00018339,             0.00018339
                      4,                0.92209,                0.92377,                0.82144,                0.96702,                0.85753,                0.93063,                0.71265,                0.82585,                0.95173,                0.92827,             0.00018339,             0.00018339,             0.00018339
                      5,                 0.8679,                 0.7939,                0.82213,                0.97022,                0.80427,                0.90582,                0.69977,                0.85746,                0.96579,                0.93969,             0.00018152,             0.00018152,             0.00018152
                      6,                0.84433,                0.70892,                0.81437,                0.93589,                0.83753,                0.91297,                0.70619,                0.83534,                0.90602,                0.95136,             0.00017964,             0.00017964,             0.00017964
                      7,                0.82933,                0.63655,                0.81291,                0.96839,                0.86502,                0.93929,                0.73874,                0.85432,                0.75585,                0.96446,             0.00017777,             0.00017777,             0.00017777
                      8,                 0.8195,                0.58744,                0.81364,                0.96283,                0.85827,                0.93996,                0.73933,                0.82881,                0.83108,                0.95467,              0.0001759,              0.0001759,              0.0001759
                      9,                0.79684,                0.55243,                0.80356,                0.97455,                0.87064,                0.94619,                0.74063,                0.84217,                0.78059,                 0.9488,             0.00017403,             0.00017403,             0.00017403
                     10,                0.79457,                0.54144,                0.80657,                0.95894,                0.86052,                0.93661,                0.73762,                 0.8403,                0.84036,                0.94706,             0.00017216,             0.00017216,             0.00017216
                     11,                0.77093,                0.50278,                0.81216,                0.96919,                0.87289,                 0.9472,                0.73731,                0.84343,                  0.781,                0.95344,             0.00017029,             0.00017029,             0.00017029
                     12,                0.76606,                0.48333,                0.80904,                0.97898,                0.83802,                0.92401,                0.71313,                0.83766,                0.87044,                0.93913,             0.00016842,             0.00016842,             0.00016842
                     13,                0.78092,                0.49085,                0.80228,                0.95949,                0.85377,                0.93626,                0.74807,                0.81515,                0.82213,                0.94512,             0.00016655,             0.00016655,             0.00016655
                     14,                0.74952,                 0.4643,                0.80608,                0.97334,                0.86244,                0.93835,                 0.7448,                0.80532,                 0.8418,                0.94247,             0.00016468,             0.00016468,             0.00016468
